toolleftname11,4.Special Rope,4.Bondage Rope,4.特別なロープ
toolleftname12,5.Cum Water,5.Cum Water,5.精液水
toolleftname13,6.Candle,6.Wax Dildo,6.2本のキャンドル
toolleftname14,1.Flour,1.Flour,1.小麦粉
toolleftname15,2.Incense Stick,2.Incense Stick,2.お線香
toolleftname16,3.Motion Camera,3.Motion Camera,3.写真カメラ
toolleftname17,4.Honey Burger,4.Honey Burger,4.ハニーバーガー
toolleftname18,5.No Fear Pills,5.No Fear Pills,5.恐怖の薬
toolleftname19,6.Energy Can,6.Energy Can,6.エネルギー缶
toolinfotitle,Tool Information:-,Toy Information:-,ツール情報:-
infotitle,Information:-,Information:-,情報：-
usagetitle,Usage:-,Usage:-,使用法：-
toolname1,Video Camera,Spy Camera,ビデオカメラ
toolname2,Thermometer,Thermometer,温度計
toolname3,UV Flashlight,UV Flashlight,UVトーチ
toolname4,Laser Grid Projector,Laser Grid Projector,レーザーグリッド
toolname5,EMF Sensor,Hotness Sensor,EMFリーダー
toolname6,Notebook,Sex Diary,ゴーストブック
toolname7,Audio Box,Audio Box,オーディオボックス
toolname8,Cursed Dagger,Cursed Dildo,呪われたダガー
toolname9,Cummed Salt,Cummed Salt,精液塩
toolname10,Dark Mirror,Dark Mirror,黒い鏡
toolname11,Special Rope,Bondage Rope,特別なロープ
toolname12,Cum Water,Cum Water,精液水
toolname13,Candles,Wax Dildo,2本のキャンドル
toolname14,Flour,Flour,小麦粉
toolname15,Incense Stick,Incense Stick,お線香
toolname16,Motion Camera,Motion Camera,写真カメラ
toolname17,Honey Burger,Honey Burger,ハニーバーガー
toolname18,No Fear Pills,No Fear Pills,恐怖の薬
toolname19,Energy Drink,Energy Drink,エネルギー缶
toolinfo1,Ghost orbs are visible only in night mode of video camera. It can be used to keep an eye out from inside the truck.,Ghost orbs are visible only in night mode of video camera. It can be used to keep an eye out from inside the truck.,ゴーストオーブはビデオカメラの暗視でのみ見ることができます。トラックから見ることができます。
toolinfo2,his tool makes it easy to find ghost rooms. Ghost rooms have lower temperature compare to other rooms. May dysfunction if a ghost passes by.,his tool makes it easy to find ghost rooms. Ghost rooms have lower temperature compare to other rooms. May dysfunction if a ghost passes by.,ゴーストルームは他の部屋に比べて温度が低いので、これを使って見つけてください。
toolinfo3,"Just cast this thing on doors, windows, closets, etc. to watch UV prints.","Just cast this thing on doors, windows, closets, etc. to watch UV prints.",窓やドアにフラッシュすると、UV マークが表示されます。
toolinfo4,Laser apparitions are visible if a ghost passes through grid cast by this device.,Laser apparitions are visible if a ghost passes through grid cast by this device.,幽霊がそこを通過すると、レーザーの幻影を見ることができます。
toolinfo5,"It will read EMF from any activity done by ghost such as moving objects, light switching, touching doors,etc.","It will read EMF from any activity done by ghost such as moving objects, light switching, touching doors,etc.",ゴースト アクティビティから EMF 読み取り値を読み取ります。
toolinfo6,Some ghost can communicate with you by scribbling on this book. This may also throw EMF reading.,Some ghost can communicate with you by scribbling on this book. This may also throw EMF reading.,幽霊の中にはこの本に書くことで交信する人もいます。
toolinfo7,"If a ghost pass by you while you are near this tool, you will get a response that is displayed on top panel.","If a ghost pass by you while you are near this tool, you will get a response that is displayed on top panel.",幽霊があなたの前を通り過ぎると、音声応答が得られる場合があります。
toolinfo8,A demon girl used to masturbate using this dagger. It said to curse anything it is plunged into.,A demon girl used to masturbate using this dagger. It said to curse anything it is plunged into.,悪魔の女の子がそれを使ってオナニーしました。ゴーストに突っ込んでダウンさせます。
toolinfo9,100 year old cum crystallized to make this salt. It can stop some ghosts.,100 year old cum crystallized to make this salt. It can stop some ghosts.,100歳の精子を結晶化させて作りました。幽霊道に撒き散らします。
toolinfo10,Origin of this object is unknown. It is said that this mirror shows your deepest nightmares completely paralyzing you.,Origin of this object is unknown. It is said that this mirror shows your deepest nightmares completely paralyzing you.,その起源は不明です。それを覗いていると、魂が体から離れていくような気がします。
toolinfo11,Special rope with unique shape at one end. That can hold a ghost by plugging in it's vaginal or anal cavity.,Special rope with unique shape at one end. That can hold a ghost by plugging in it's vaginal or anal cavity.,幽霊のお尻に挿入できる特別な端を持つ特別なロープ。
toolinfo12,A simple solution made with water and cum. Though simple it's super effective against some types of ghost.,A simple solution made with water and cum. Though simple it's super effective against some types of ghost.,水と精液の単純な混合物は、一部の幽霊に対して非常に効果的です。
toolinfo13,Candles made with Wendy's love nectar. I don't how but it seems to work against some type of ghosts.,Candles made with Wendy's love nectar. I don't how but it seems to work against some type of ghosts.,精液で作られたキャンドル、私はかおりに射精しました。なぜかそこから出る煙は幽霊を倒すことができます。
toolinfo14,"Normal flour, quite useful to determine flying ability of a ghost.","Normal flour, quite useful to determine flying ability of a ghost.",幽霊が飛べるかどうかを判断するために通常の小麦粉を使用します。
toolinfo15,This is a life saver if you are caught during a hunt. It will immediately release you from a grasp. Using it in ghost room with delay hunt for 30 secs.,This is a life saver if you are caught during a hunt. It will immediately release you from a grasp. Using it in ghost room with delay hunt for 30 secs.,これは、狩り中にゴーストから逃げるのに役立ちます。また、ゴーストルームで狩りを遅らせるために使用することもできます。
toolinfo16,This cameras are best in the market. It captures images of apparitions passing near it.,This cameras are best in the market. It captures images of apparitions passing near it.,セクシーな幽霊の写真を撮るのに最適なカメラです。
toolinfo17,No one knows where this honey comes from but it's not like normal honey. It seem to be the source of Luna's body transformation.,No one knows where this honey comes from but it's not like normal honey. It seem to be the source of Luna's body transformation.,この蜂蜜の出所は不明ですが、それがつきこをさらに熱くしたのです。
toolinfo18,It sooth any frighten mind to focus on work. This thing is quite popular with ghost hunters.,It sooth any frighten mind to focus on work. This thing is quite popular with ghost hunters.,恐怖を和らげるのを助けます。ゴーストハンターの間で非常に人気があります。
toolinfo19,Can run for 90 seconds without stamina consumption.,Can run for 90 seconds without stamina consumption.,疲れずに90秒間走ります。
toolusage1,Place camera anywhere and access it from the your computer in the truck. Maximum 4 can be placed.,Place camera anywhere and access it from the your computer in the truck. Maximum 4 can be placed.,これらのカメラをどこにでも設置し、トラック内のCCTVコンピューターからアクセスできます。一度に4つ設置できます。
toolusage2,Keep it your hand or on the floor staying close to it can get you a reading.,Keep it your hand or on the floor staying close to it can get you a reading.,測定値を取得するには、手に持ったり床に置いたりしてください。
toolusage3,Hold it in your hand and press 'Use Key' to activate or deactivate it.,Hold it in your hand and press 'Use Key' to activate or deactivate it.,手に持って「使用キー」を押してオンまたはオフにします。
toolusage4,Hold it in your hand and press 'Use Key' to activate it. It will be placed on floor once active. Picking it up while it's active will deactivate it.,Hold it in your hand and press 'Use Key' to activate it. It will be placed on floor once active. Picking it up while it's active will deactivate it.,それを手に持ち、「使用キー」を押してアクティブにします。拾わない限り、アクティブなままになります。
toolusage5,Keep it your hand or on the floor staying close to it can get you a reading.,Keep it your hand or on the floor staying close to it can get you a reading.,測定値を取得するには、手に持ったり床に置いたりしてください。
toolusage6,Drop it on the floor anywhere.,Drop it on the floor anywhere.,床のどこにでも置いてください。
toolusage7,Keep it your hand or on the floor staying close to it can get you a response.,Keep it your hand or on the floor staying close to it can get you a response.,手や床に置いておくと、近くに置いておくと反応が得られます。
toolusage8,"When a ghost is idle during a hunt, plunge it in it to knock it down.","When a ghost is idle during a hunt, plunge it in it to knock it down.",狩りの開始時に、動いていないときにこの短剣をゴーストに突き刺します。
toolusage9,"While on hunt, make a ghost walk through it. Upon contact it will knockdown a ghost.","While on hunt, make a ghost walk through it. Upon contact it will knockdown a ghost.",狩り中にゴーストをそこを歩かせると、彼女はノックダウンされます。
toolusage10,Stand in front of a mirror and press ‘Use’ to unleash rays of nightmares on a ghost.,Stand in front of a mirror and press ‘Use’ to unleash rays of nightmares on a ghost.,鏡の前に立って「使用キー」を押して赤い光線を放ちます。
toolusage11,"When a ghost is idle at the start of the hunt, repeatedly press ‘Use’ to bind it.","When a ghost is idle at the start of the hunt, repeatedly press ‘Use’ to bind it.",狩りの開始時にゴーストの近くで「キーを使用」を押して捕まえます。
toolusage12,Throw water by pressing 'Use Key'. It will immediately knock it.,Throw water by pressing 'Use Key'. It will immediately knock it.,狩り中に「使用キー」を押してゴーストに水を投げます。
toolusage13,Place two within 3.5m range of a ghost when it's about to hunt. If done correctly it will quickly knock it down.,Place two within 3.5m range of a ghost when it's about to hunt. If done correctly it will quickly knock it down.,狩りの開始時に、幽霊の3.5メートル以内にろうそくの火を2本置き、幽霊を倒します。
toolusage14,Press 'Use Key' to drop some on the floor. Can be used 3 time.,Press 'Use Key' to drop some on the floor. Can be used 3 time.,「使用キー」を押して床に小麦粉を振りかけます。 3回使用できます。
toolusage15,Press 'Use Key' to use it.,Press 'Use Key' to using it.,「使用キー」を押して使用してください。
toolusage16,Place it anywhere on the floor.,Place it anywhere on the floor.,床に置きます。
toolusage17,Press 'Use Key' to eat it while holding it.,Press 'Use Key' to eat it while holding it.,それを持ったまま「使用キー」を押すと食べられます。
toolusage18,Press 'Use Key' to eat it while holding it.,Press 'Use Key' to eat it while holding it.,それを持ったまま「使用キー」を押すと食べられます。
toolusage19,Press 'Use Key' to drink it while holding it.,Press 'Use Key' to drink it while holding it.,持ったまま「使用キー」を押すと飲みます。
titlefindevi,Finding evidence:-,Finding evidence:-,証拠を見つける:-
titlebehave,Learning Behaviour:-,Learning Behaviour:-,行動を学ぶ:-
inforevi,"There are so many types of ghost, therefore we need to gather evidences to identify it's type. There are 7 types of evidences you can look for.","There are so many types of ghost, therefore we need to gather evidences to identify it's type. There are 7 types of evidences you can look for.",それが何の幽霊であるかを知るための証拠を集めてください。各幽霊は、可能性のある7つの証拠のうち3つを生成します。
inforbehave,"You can notice some of the ghost behaviours with or without tools. You can identify them to further short list a specific ghost type. This behaviours are ghost flames in a dark room, moving heavy objects, formation of puddle on floor, shattering glass, etc. You can get more info about this in abilities part in 'Ghostpedia'.","You can notice some of the ghost behaviours with or without tools. You can identify them to further short list a specific ghost type. This behaviours are ghost flames in a dark room, moving heavy objects, formation of puddle on floor, shattering glass, etc. You can get more info about this in abilities part in 'Ghostpedia'.",ゴーストには、ツールの有無にかかわらず観察できる特定の動作があります。証拠から2つのゴーストの可能性があることがわかった場合、これらの動作はゴーストのタイプを理解するのに役立ちます。これらには、重い物体の移動、水たまりの形成、鏡の幻影などが含まれます。
evidenceinfo1,If ghost touch doors or windows it will leave it's handprint on it. They are visible if we shed UV light on them.,If ghost touch doors or windows it will leave it's handprint on it. They are visible if we shed UV light on them.,窓やドアにゴーストタッチするとUVトーチで確認できる跡が残ります。
evidenceinfo2,Some ghost communicate using scribbles. Placing a notebook near ghost room can confirm this evidence.,Some ghost communicate using scribbles. Placing a notebook near ghost room can confirm this evidence.,幽霊部屋の近くにノートを置くと、この証拠が得られます。
evidenceinfo3,Ghost orbs are only visible in night mode of a video camera. They appear near spawn point of a ghost in the ghost room.,Ghost orbs are only visible in night mode of a video camera. They appear near spawn point of a ghost in the ghost room.,ゴースト オーブはビデオ カメラのナイトビジョンでのみ見ることができます。ゴースト オーブはゴースト スポーン ポイントの近くに表示されます。
evidenceinfo4,"Use thermometer to check temperature in the ghost room. If it's below 0 degree, this evidence is confirmed.","Use thermometer to check temperature in the ghost room. If it's below 0 degree, this evidence is confirmed.",温度計を使用して部屋の温度を確認してください。0℃未満の場合は、氷点下である証拠が得られます。
evidenceinfo5,"If you are holding an audio box and ghost passes by you, chances are it will communicate with you. If it does this evidence is confirmed.","If you are holding an audio box and ghost passes by you, chances are it will communicate with you. If it does this evidence is confirmed.",幽霊の部屋でそれを保持すると、幽霊があなたの前を通り過ぎた場合、音声応答が得られる可能性があります。応答が得られた場合は、それが確認された証拠です。
evidenceinfo6,When a ghost interact with something it produces EMF for a while. It can be captured using an EMF reader. It must be over 3 to confirm this evidence.,When a ghost interact with something it produces EMF for a while. It can be captured using an EMF reader. It must be over 3 to confirm this evidence.,ゴーストが何かと相互作用するとEMF測定値が残る場合があります。レベル4または5を取得するとEMFレベルの証拠を確認できます。
evidenceinfo7,If you place a laser projector near ghost room and watch it in dark or in video camera. You will see faint apparition of a ghost.,If you place a laser projector near ghost room and watch it in dark or in video camera. You will see faint apparition of a ghost.,暗闇のゴーストルームにレーザーグリッドを置きます。何らかの幽霊が見えた場合、レーザーの幽霊の証拠が確認されます。
lunainteractions,A) Interactions with Luna:-,A) Interactions with Tsukiko:-,A)アシスタントとのやり取り:-
buyitems,1.Buy Items,1.Buy Items,1.アイテムを購入する
lunatalk,2.Chat,2.Chat,2.話す
ktedo,3.Do K.T.E.,3.Anal Sex,3.KTEをする
collectibles,B) Collectibles:-,B) Collectibles:-,B)収集品:-
lunacloths,1.Luna's Outfits,1.Tsukiko's Outfits,1.つきこの服
videotube,2.Video Tube,2.Porn Tube,2. Video Tube
tvchan,3.TV Channels,3.Erotic Shows,3.テレビチャンネル
lunaintertitle,Interaction with Luna:-,Interaction with Tsuki:-,アシスタントとのやり取り:-
lunaintetext1,Depending on the level you are playing you will game 2-3 interactions with Luna.,Depending on the level you are playing you will game 2-3 interactions with Tsukiko.,アシスタントと2～3つの異なる対話を行うことになります。
lunaintetext2,If you are on an investigation you can ask Luna to buy stuffs to help in your investigation. More details about is explained in 'Buy Equipment' tab.,If you are on an investigation you can ask Tsukiko to buy stuffs to help in your investigation. More details about is explained in 'Buy Equipment' tab.,アシスタントにアイテムを購入するように依頼できます。詳細については、「機器の購入」セクションを参照してください。
lunaintetext3,Luna will talk with you.,Luna will talk with you.,アシスタントがあなたと話します。
lunaintetext4,Press 'Up' and 'Down' you adjust speed. It also affects fill up speed. Once the bar is full it will show 'Cum' option. You can click on uniform to change her cloth and click on current one to remove her cloths.,Press Up or Down to adjust fuck speed. A cum button will be displayed if you are about to climax. Press on the uniform icons to change her cloths or remove them.,「W」または「S」を押して速度を調整します。クライマックスバーがいっぱいになると、射精するボタンが表示されます。セックス中に彼女の服を変えることもできます。
collecttitle,Collectibles:-,Collectibles:-,収集品:-
collectinfo1,You have to collect 3 pieces of an outfit to unlock it. They can be found during your investigation.,You have to collect 3 pieces of an outfit to unlock it. They can be found during your investigation.,布の破片を集めてロックを解除します。それらはサイトで見つけることができます。
collectinfo2,If you complete a contract you have an option to upload a video here. You can access this website on home computer.,If you complete a contract you have an option to upload a video here. You can access this website on home computer.,ゴーストを捕まえると、「VideoTube」にビデオをアップロードするオプションが表示されます。その動画は、別のゴーストを捕まえるまでそこで再生されます。
collectinfo3,Collect pink subscription pass to unlock different channels.,Collect pink subscription pass to unlock different channels.,サブスクリプションパスを集めてチャンネルのロックを解除します。
homecomptext,You can read diary pages from the flash drive you have collected or watch response of your uploaded ghost video by accessing computer at home.,You can read Only Diary pages from collect flash drives or your leaked sex video with ghost on VideoTube.,「VideoTube」にアクセスしたり、収集した USB ドライブからページを読み取ることができます。
evidencetitle,Evidences :-,Evidences :-,証拠:-
eviname1s,- UV prints,- UV prints,-紫外線マーク
eviname2s,- Laser Apparition,- Laser Apparition,-レーザーの外観
eviname3s,- Ghost Orbs,- Ghost Orbs,-ゴーストオーブ
eviname4s,- Writing,- Writing,-書き込み
eviname5s,- Freezing Temperature,- Freezing Temperature,-氷点下温度
eviname6s,- Audio Response,- Audio Response,-音声応答
eviname7s,- EMF Lvl. 4-5,- EMF Lvl. 4-5,-EMFレベル4-5
textspeed,Dialogue Text Speed,Dialogue Text Speed,会話テキストの速度
slow,Slow,Slow,遅い
normal,Normal,Normal,普通
fast,Fast,Fast,速い
